id,ficha,tipo_camion,capacidad
,38727,Recolector Tradicional,0
,38726,Recolector Tradicional,0
,38725,Recolector Tradicional,0
,38724,Recolector Tradicional,0
,38723,Recolector Tradicional,0
,38722,Recolector Tradicional,0
,38721,Recolector Tradicional,0
,38720,Recolector Tradicional,0
,38719,Recolector Tradicional,0
,38717,Recolector Tradicional,0
,38716,Recolector Tradicional,0
,38715,Recolector Tradicional,0
,38712,Recolector Tradicional,0
,38711,Recolector Tradicional,0
,38710,Recolector Tradicional,0
,38708,Recolector Tradicional,0
,38707,Recolector Tradicional,0
,38706,Recolector Tradicional,0
,38705,Recolector Tradicional,0
,38704,Recolector Tradicional,0
,38703,Recolector Tradicional,0
,38701,Recolector Tradicional,0
,38700,Recolector Tradicional,0
,38699,Recolector Tradicional,0
,38698,Recolector Tradicional,0
,38697,Recolector Tradicional,0
,38696,Recolector Tradicional,0
,38694,Recolector Tradicional,0
,38692,Recolector Tradicional,0
,38691,Recolector Tradicional,0
,38690,Recolector Tradicional,0
,38689,Recolector Tradicional,0
,38688,Recolector Tradicional,0
,38687,Recolector Tradicional,0
,38686,Recolector Tradicional,0
,38684,Recolector Tradicional,0
,38683,Recolector Tradicional,0
,38682,Recolector Tradicional,0
,38681,Recolector Tradicional,0
,38645,Recolector Tradicional,0
,38634,Recolector Tradicional,0
,38633,Recolector Tradicional,0
,38632,Recolector Tradicional,0
,38621,Recolector Tradicional,0
,CV-25,Recolector,0
,CV-17,Recolector,0
,CV-26,Recolector,0
,CV-25,Recolector,0
,CP-67,Recolector,0
,CP-68,Recolector,0
,CP-69,Recolector,0
,CHL-01,Transportador,0
,CHL-02,Transportador,0
,CHL-03,Transportador,0
,CHL-04,Transportador,0
,CHL-05,Transportador,0
,JCP-01,Recolector Tradicional,0
,JCP-02,Recolector Tradicional,0
,JCP-03,Recolector Tradicional,0
,JCP-04,Recolector Tradicional,0
,JCP-05,Recolector Tradicional,0
,CCL-01,Recolector Contenedores,0
,CCL-02,Recolector Contenedores,0
,CCL-03,Recolector Contenedores,0
,CCL-04,Recolector Contenedores,0
,CCL-05,Recolector Contenedores,0
,E-x04162,Camion Apoyo,0
,E-x04165,Camion Apoyo,0
,E-x04164,Camion Apoyo,0
,L-104708,Camion Apoyo,0
,L-103559,Camion Apoyo,0
,L-055982,Camion Apoyo,0
,L-148589,Camion Apoyo,0
,S-002305,Camion Apoyo,0
,S-010205,Camion Apoyo,0
,S-002335,Camion Apoyo,0
,S-003940,Camion Apoyo,0
,S-015262,Camion Apoyo,0
,S-014671,Camion Apoyo,0
,S-015282,Camion Apoyo,0
,S-003378,Camion Apoyo,0
,S-002005,Camion Apoyo,0
,L-113520,Camion Apoyo,0
,L-290498,Camion Apoyo,0
,L-010011,Camion Apoyo,0
,L-246948,Camion Apoyo,0
,L-182201,Camion Apoyo,0
,L-079794,Camion Apoyo,0
,F-63,Recolector Tradicional,0
,F-61,Recolector Tradicional,0
,F-85,Recolector Tradicional,0
,F-73,Recolector Tradicional,0
,F-69,Recolector Tradicional,0
,F-68,Recolector Tradicional,0
,C-01,Recolector Tradicional,0
,F-55,Recolector Tradicional,0
,F-54,Recolector Tradicional,0
,F-51,Recolector Tradicional,0
,F-52,Recolector Tradicional,0
,F-45,Recolector Tradicional,0
,F-56,Recolector Tradicional,0
,F-40,Recolector Tradicional,0
,F-41,Recolector Tradicional,0
,F-60,Recolector Tradicional,0
,F-50,Recolector Tradicional,0
,F-59,Recolector Tradicional,0
,F-48,Recolector Tradicional,0
,F-53,Recolector Tradicional,0
,F-34,Recolector Tradicional,0
,F-42,Recolector Tradicional,0
,F-58,Recolector Tradicional,0
,F-57,Recolector Tradicional,0
,F-44,Recolector Tradicional,0
,F-62,Recolector Tradicional,0
,F-85,Recolector Tradicional,0
,F-67,Recolector Tradicional,0
,F-95,Recolector Tradicional,0
,MAT-2,Recolector Tradicional,0
,MAT-1,Recolector Tradicional,0
